2456520.06519 5.701
2456520.07989 5.562
2456520.09459 5.539
2456520.10919 5.534
2456520.12079 5.370
2456520.13529 5.460
2456520.27917 5.2
2456520.3316 5.3
2456520.33593 5.0761
2456520.35625 4.9
2456520.3750 5.28
2456520.390064 4.7934
2456520.395116 4.8779
2456520.39901 4.9006
2456520.4028 5.003
2456520.409682 5.0383
2456520.413461 4.8657
2456520.417801 4.8805
2456520.421418 4.7771
2456520.429878 5.1407
2456520.435104 4.8504
2456520.46 4.9
2456520.475689 4.7927
2456520.481453 4.7946
2456520.488675 4.7832
2456520.4979 5.0
2456520.50347 5.0
2456520.50934 4.6729
2456520.514404 4.5620
2456520.520179 4.5726
2456520.525955 4.6259
2456520.531354 4.8737
2456520.535874 4.8163
2456520.54097 4.9
2456520.54583 5.0
2456520.550503 4.4640
2456520.556545 4.6376
2456520.563767 4.6641
2456520.570712 4.4987
2456520.577199 4.5258
2456520.58333 4.8
2456520.588304 4.5556
2456520.59522 4.94
2456520.600301 4.6608
2456520.607089 4.5455
2456520.614311 4.5693
2456520.621534 4.5138
2456520.627755 4.3698
2456520.635324 5.0338
2456520.641476 4.3104
2456520.71528 4.5
2456520.87361 4.5
2456521.06458 4.3
2456521.28472 4.8
2456521.32639 4.5
2456521.336875 4.6969
2456521.340492 4.4562
2456521.3440 4.7
2456521.348976 4.6692
2456521.353501 4.3938
2456521.358096 4.3753
2456521.363241 4.9304
2456521.367569 4.9687
2456521.371539 4.7821
2456521.37639 4.6
2456521.38077 4.8488
2456521.385098 4.8014
2456521.389 4.6
2456521.39236 4.8
2456521.401359 4.3386
2456521.406516 4.9261
2456521.41111 4.6
2456521.416395 4.7268
2456521.422088 4.2675
2456521.45833 4.7
2456521.52035 4.40
2456521.55833 4.9
2456521.59028 4.85
2456521.60417 4.9
2456521.61806 4.6
2456521.6410 5.095
2456521.6550 4.84
2456521.6701 4.8
2456521.68750 4.82
2456521.7080 4.855
2456521.76736 4.9
2456522.00000 4.88
2456522.07341 5.270
